Date,Open,High,Low,Close,Adj,CloseVolume
1997-02-01,19.375000,20.843750,19.062500,19.562500,8.539160,42241200
1997-03-01,19.562500,20.937500,19.437500,20.062500,8.757417,37230000
1997-04-01,20.062500,22.718750,19.093750,22.250000,9.712273,47922800
1997-05-01,22.250000,24.937500,22.187500,24.406250,10.858804,57640000
1997-06-01,24.406250,27.343750,24.187500,26.843750,11.943288,57634800
1997-07-01,26.843750,29.968750,26.125000,28.000000,12.457726,68291800
1997-08-01,28.625000,30.812500,28.562500,29.031250,13.031492,49546400
1997-09-01,29.031250,29.968750,26.500000,26.968750,12.105676,51954600
1997-10-01,27.000000,30.468750,24.875000,25.625000,11.502498,62267800
1997-11-01,25.906250,27.500000,22.000000,23.968750,10.849458,87920800
1997-12-01,24.031250,26.500000,22.937500,24.250000,10.976763,65056000
1998-01-01,24.250000,24.937500,22.250000,24.000000,10.863604,72077400
1998-02-01,24.406250,27.593750,24.375000,27.281250,12.483450,48988000
1998-03-01,27.000000,29.625000,25.500000,27.531250,12.597846,60933200
1998-04-01,27.531250,29.125000,26.500000,28.468750,13.026835,55608000
1998-05-01,28.468750,30.375000,27.437500,27.468750,12.681223,33316600
1998-06-01,27.468750,28.406250,25.531250,26.453125,12.212350,59271000
1998-07-01,26.562500,28.187500,23.968750,24.250000,11.195256,76525000
1998-08-01,24.312500,25.343750,20.968750,21.000000,9.808028,59268200
1998-09-01,21.375000,24.750000,19.531250,22.250000,10.391838,89653800
1998-10-01,22.250000,24.468750,20.968750,22.468750,10.494010,80188400
1998-11-01,23.000000,25.125000,22.531250,24.718750,11.691389,63839800
1998-12-01,24.718750,26.093750,20.562500,23.000000,10.878467,79135800
1999-01-01,23.281250,26.500000,21.531250,21.656250,10.242900,78842800
1999-02-01,21.718750,24.250000,21.000000,22.781250,10.915092,54730000
1999-03-01,23.250000,25.437500,21.937500,22.968750,11.004923,76748800
1999-04-01,23.156250,33.187500,23.156250,32.187500,15.421864,114166800
1999-05-01,32.187500,33.218750,27.250000,27.437500,13.275136,52720200
